index,tenor,date,fixing
EUR-EONIA-OIS-COMPOUND,1D,19/03/2007,0.0382
EUR-EURIBOR-Reuters,1W,19/03/2007,0.03838
EUR-EURIBOR-Reuters,2W,19/03/2007,0.03851
EUR-EURIBOR-Reuters,1M,19/03/2007,0.03863
EUR-EURIBOR-Reuters,3M,19/03/2007,0.03892
EUR-EURIBOR-Reuters,6M,19/03/2007,0.04009
EUR-EURIBOR-Reuters,12M,19/03/2007,0.04126
EUR-EONIA-OIS-COMPOUND,1D,20/03/2007,0.0382
EUR-EURIBOR-Reuters,1W,20/03/2007,0.03838
EUR-EURIBOR-Reuters,2W,20/03/2007,0.03852
EUR-EURIBOR-Reuters,1M,20/03/2007,0.03863
EUR-EURIBOR-Reuters,3M,20/03/2007,0.03895
EUR-EURIBOR-Reuters,6M,20/03/2007,0.04014
EUR-EURIBOR-Reuters,12M,20/03/2007,0.04133
EUR-EONIA-OIS-COMPOUND,1D,21/03/2007,0.0381
EUR-EURIBOR-Reuters,1W,21/03/2007,0.03839
EUR-EURIBOR-Reuters,2W,21/03/2007,0.03852
EUR-EURIBOR-Reuters,1M,21/03/2007,0.03864
EUR-EURIBOR-Reuters,3M,21/03/2007,0.03897
EUR-EURIBOR-Reuters,6M,21/03/2007,0.0401
EUR-EURIBOR-Reuters,12M,21/03/2007,0.04126
EUR-EONIA-OIS-COMPOUND,1D,22/03/2007,0.0381
EUR-EURIBOR-Reuters,1W,22/03/2007,0.03857
EUR-EURIBOR-Reuters,2W,22/03/2007,0.03855
EUR-EURIBOR-Reuters,1M,22/03/2007,0.03862
EUR-EURIBOR-Reuters,3M,22/03/2007,0.03902
EUR-EURIBOR-Reuters,6M,22/03/2007,0.04013
EUR-EURIBOR-Reuters,12M,22/03/2007,0.04122
EUR-EONIA-OIS-COMPOUND,1D,23/03/2007,0.0381
EUR-EURIBOR-Reuters,1W,23/03/2007,0.03859
EUR-EURIBOR-Reuters,2W,23/03/2007,0.03859
EUR-EURIBOR-Reuters,1M,23/03/2007,0.03863
EUR-EURIBOR-Reuters,3M,23/03/2007,0.03904
